node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
TRIM65,1.0,0.0,1.0,1.0,2.77,1.0,0.2,108.95,5.34173,0.0,0.0,0.0,
ZC3H12A,3.0,0.30779,2.0,3.0,3.158,1.0,0.2,102.1,5.16547,2.27511,18.0,0.33333,
TRIM14,5.0,0.30898,3.0,4.0,4.458,1.0,0.2,113.51667,5.41727,11.21814,178.0,0.33333,
SNX32,1.0,0.0,1.0,1.0,1.579,1.0,0.2,94.4,4.95324,0.0,0.0,0.0,
SRPX,1.0,0.0,1.0,1.0,1.806,1.0,0.2,96.05,4.98561,0.0,0.0,0.0,
TRIM38,5.0,0.30898,3.0,4.0,2.199,1.0,0.2,102.51667,5.16187,7.97281,70.0,0.33333,
RNF152,2.0,0.30779,2.0,2.0,3.523,1.0,0.2,102.56667,5.16187,0.0,0.0,1.0,
QSOX1,2.0,0.0,1.0,2.0,2.336,1.0,0.2,97.56667,5.05396,1.26061,6.0,0.0,
UBXN6,2.0,0.0,1.0,2.0,1.554,1.0,0.2,95.05,4.94245,11.0836,76.0,0.0,
MTMR3,18.0,0.38039,6.0,6.0,5.441,1.0,0.2,121.7,5.59712,8.85785,178.0,0.53333,
MTMR14,15.0,0.38896,5.0,6.0,4.079,2.0,0.2,113.7,5.42446,138.33538,1226.0,0.4,
PHF23,1.0,0.0,1.0,1.0,2.261,1.0,0.2,96.43333,5.02878,0.0,0.0,0.0,
TRIM8,6.0,0.30898,3.0,5.0,4.215,2.0,0.2,113.11667,5.40288,48.05158,470.0,0.2,
LIX1,1.0,0.0,1.0,1.0,1.029,1.0,0.16667,81.18333,4.48561,0.0,0.0,0.0,
KLHL22,1.0,0.0,1.0,1.0,2.239,1.0,0.2,96.23333,5.03237,0.0,0.0,0.0,
PMP22,3.0,0.30779,2.0,3.0,2.672,1.0,0.2,103.9,5.21223,2.41575,54.0,0.33333,
PRKD1,8.0,0.37893,4.0,4.0,3.941,1.0,0.2,113.45,5.41727,1.03047,28.0,0.66667,
TRIM22,3.0,0.0,1.0,3.0,3.432,1.0,0.2,106.48333,5.25899,5.51859,68.0,0.0,
PIM2,12.0,0.47366,4.0,4.0,5.911,1.0,0.2,118.7,5.54317,0.13333,2.0,0.83333,
HAP1,3.0,0.0,1.0,3.0,3.101,1.0,0.2,108.98333,5.32734,2.51428,42.0,0.0,
RGS19,1.0,0.0,1.0,1.0,1.128,1.0,0.16667,73.01667,4.10791,0.0,0.0,0.0,
GPSM1,2.0,0.0,1.0,2.0,2.122,2.0,0.2,99.56667,5.10432,554.0,4586.0,0.0,
TP53INP1,56.0,0.43905,7.0,7.0,8.188,2.0,0.2,126.78333,5.70144,33.48158,534.0,0.57143,
TOMM7,12.0,0.47366,4.0,4.0,4.869,1.0,0.2,110.48333,5.35612,0.10526,2.0,0.83333,
SOGA3,2.0,0.0,1.0,2.0,1.385,2.0,0.16667,85.41667,4.6223,554.0,8528.0,0.0,
FBXL2,1.0,0.0,1.0,1.0,1.033,1.0,0.14286,65.14286,3.6259,0.0,0.0,0.0,
USP33,4.0,0.0,1.0,4.0,3.784,1.0,0.2,107.78333,5.30216,6.55607,76.0,0.0,
EPM2A,18.0,0.26242,8.0,8.0,8.219,1.0,0.2,120.06667,5.53597,10.17878,192.0,0.32143,
NUPR1,5.0,0.30898,3.0,4.0,3.184,1.0,0.2,111.45,5.3741,4.19418,46.0,0.33333,
